,CAREER INTEREST,CAREER INTEREST_enc
325,Public Adminstration,57.0
326,Economics,23.0
327,Medicine,44.0
328,Medicine,44.0
329,Mechanical Engineering,43.0
330,Law,37.0
331,Law,37.0
332,Law,37.0
333,Software Engineering,61.0
334,Philosophy,50.0
335,Mass Communication,41.0
336,Minning Engineering,46.0
337,Surveying,63.0
338,Biochemistry,11.0
339,Linguistics,38.0
340,Surveying,63.0
341,Business Adminstration,14.0
342,Law,37.0
343,Medicine,44.0
344,Banking,10.0
345,Medicine,44.0
